h,0,totalCurrent,gyro,motorSpeedLeft,motorSpeedRight,motorRoller,batteryVoltage,pdpTemp,accelX,accelY,accelZ,current1,current2,current3,current14,current15
d,1,338.0,365.0,365.0,366.0,366.0,366.0,367.0,368.0,368.0,368.0,369.0,369.0,370.0,370.0,371.0
d,2,866.0,866.0,868.0,868.0,869.0,869.0,869.0,870.0,870.0,870.0,871.0,871.0,871.0,872.0,872.0
d,3,1373.0,1373.0,1374.0,1374.0,1374.0,1375.0,1375.0,1375.0,1376.0,1376.0,1376.0,1376.0,1377.0,1377.0,1377.0
d,4,1864.0,1864.0,1864.0,1865.0,1865.0,1865.0,1865.0,1865.0,1866.0,1866.0,1866.0,1867.0,1867.0,1867.0,1867.0
d,5,2463.0,2464.0,2464.0,2465.0,2465.0,2465.0,2465.0,2466.0,2466.0,2466.0,2466.0,2467.0,2467.0,2467.0,2468.0
d,6,2852.0,2852.0,2853.0,2853.0,2853.0,2854.0,2854.0,2854.0,2854.0,2855.0,2855.0,2856.0,2856.0,2857.0,2857.0
d,7,3400.0,3400.0,3400.0,3401.0,3401.0,3402.0,3402.0,3403.0,3403.0,3403.0,3404.0,3404.0,3404.0,3405.0,3405.0
d,8,3956.0,3957.0,3958.0,3958.0,3959.0,3959.0,3960.0,3960.0,3962.0,3962.0,3962.0,3963.0,3963.0,3964.0,3964.0
d,9,4663.0,4663.0,4664.0,4664.0,4664.0,4665.0,4665.0,4666.0,4666.0,4666.0,4667.0,4667.0,4667.0,4668.0,4668.0
d,10,5346.0,5347.0,5347.0,5349.0,5350.0,5350.0,5351.0,5351.0,5352.0,5352.0,5352.0,5353.0,5353.0,5353.0,5354.0
d,11,5999.0,6001.0,6001.0,6002.0,6002.0,6003.0,6005.0,6005.0,6006.0,6007.0,6007.0,6008.0,6009.0,6010.0,6010.0
d,12,6683.0,6685.0,6686.0,6687.0,6688.0,6688.0,6689.0,6689.0,6690.0,6690.0,6691.0,6692.0,6692.0,6693.0,6693.0
